method,trajectory,optimizer_update,training_step,trajectory_microsteps,chunk_size_tokens,response_tokens,distillation_loss,teacher_student_reverse_kl,student_token_nll,episode_seconds,projection_alpha,projected_target_kl,kl_budget,query_id
TRSD 64,30,30,1806,79,128,10109,0.004425890690527012,0.004425890775424506,0.11027929098672855,354.9308309290791,0.625,0.0038326328414131994,0.004,deepmath:003dd754a0b261d696d349dddb4a34ef7d50972c4201891c23ff46d4ef00bede
TRSD 64,31,31,1874,68,128,8677,0.004335378041105287,0.0043353781037971115,0.115962975803053,291.38782079995144,0.5625,0.003952374121341011,0.004,deepmath:003e4e800a59d605dcd72b1719d992d346b01b6e895f6a92a7b12f39b58aaaa1
TRSD 64,32,32,1889,15,128,1799,0.004264272755410303,0.004264272808398064,0.17455358330311543,63.197837419924326,0.265625,0.003930618239154733,0.004,deepmath:003f11a5f8ee77c15cb77c3af9f2a4a07b00c80d0646b49748e70794c6d00e00
TRSD 64,33,33,1911,22,128,2816,0.00434192346438067,0.00434192335921001,0.11036207255992023,96.10316287609749,0.46875,0.003936902087430512,0.004,deepmath:0042ff3872891ac71b4a7bf6a9e70c583bb12a3253c423f3b438d1ce982fd773
TRSD 64,34,34,1990,79,128,10109,0.003966208723340969,0.003966208832582223,0.08087393333985245,337.33516773895826,0.84375,0.0038606478672451408,0.004,deepmath:00465b0dba3ed87e4b7c8e6a307870f90d33588ebf9e5928f0b570bdaf1e2a96
TRSD 64,35,35,2032,42,128,5272,0.0042945069072573006,0.004294506966538991,0.09726306845819824,177.68529273103923,0.5625,0.0038343256014651494,0.004,deepmath:00483c5e025c9dff3522155103e5ac71456db89cf7720691de75cdaeff69e3cc
TRSD 64,36,36,2110,78,128,9964,0.004183333035371106,0.004183333069972158,0.08608243648233493,332.73342014395166,0.625,0.0038872120830158257,0.004,deepmath:004cad66393fc699153db15fa50b9068d07fb36707ae0e10a5acc9827a78cd55
TRSD 64,37,37,2144,34,128,4268,0.004362191818927386,0.00436219172822809,0.08330869451235026,144.35724526294507,0.609375,0.003918120515774569,0.004,deepmath:004fbec5f3d0f4836287dc846f18743dc62e33181d7743963994345dfc05d580
TRSD 64,38,38,2205,61,128,7770,0.004033529985917994,0.004033529761809486,0.10528369471526668,261.72609626094345,0.5,0.003798965250107159,0.004,deepmath:005a74061981d1174955f0d339217a910c724ac259267990b75a859417309ba5
TRSD 64,39,39,2255,50,128,6371,0.004330338362251496,0.004330338212351394,0.09192139214351176,214.3682695350144,0.53125,0.003862659649648915,0.004,deepmath:005a8826414aec0cdf8fdb68a2c9759982ac52715514f8930b08d67176e76b8a
TRSD 64,40,40,2318,63,128,7998,0.004145261456869775,0.004145261251455428,0.11948974778217565,270.3940041450551,0.5625,0.003985705133830273,0.004,deepmath:005ef7c198b0f12d759d3c44022c5b9b6835885d9adedf3299a5a841dfa37606
TRSD 64,41,41,2398,80,128,10116,0.004463125181700889,0.004463125280991709,0.11047533520977221,338.7468646230409,0.578125,0.003910048127899107,0.004,deepmath:005fcaa3cd5ce509ada79200159f2963f75cce3f4b342e909dcce691603f6363
